,Timestamp,Age,Gender,City,Position,Total_Yrs_Exp,Yrs_Exp_DE,Seniority,Main_Tech,Other_Tech,Salary_Brutto,Bonus_Stocks,Salary_Brutto_Prev,Bonus_Stock_Prev,Vacation_Days,Employment_Status,Contract_Duration,Main_Lang_Work,Company_Size,Company_Type,Lost_Job_Covid,Kurzarbeit,WFH_Support,Total_Salary,Clean_Main_Tech,Age_group
0,24/11/2020 11:14:15,26.0,Male,Munich,Software Engineer,5.0,3,Senior,TypeScript,"Kotlin, Javascript / Typescript",80000.0,5000.0,75000.0,10000,30,Full-time employee,Unlimited contract,English,51-100,Product,No,,,85000.0,TypeScript,25-29
1,24/11/2020 11:14:16,26.0,Male,Berlin,Backend Developer,7.0,4,Senior,Ruby,,80000.0,0.0,82000.0,5000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,80000.0,Ruby,25-29
2,24/11/2020 11:14:21,29.0,Male,Berlin,Software Engineer,12.0,6,Lead,Javascript / Typescript,"Javascript / Typescript, Docker",120000.0,120000.0,100000.0,100000,30,Self-employed (freelancer),Temporary contract,English,101-1000,Product,Yes,,,240000.0,Javascript,25-29
3,24/11/2020 11:15:24,28.0,Male,Berlin,Frontend Developer,4.0,1,Junior,Javascript,,54000.0,0.0,,,24,Full-time employee,Unlimited contract,English,51-100,Startup,No,,,54000.0,Javascript,25-29
4,24/11/2020 11:15:46,37.0,Male,Berlin,Backend Developer,17.0,6,Senior,C# .NET,".NET, SQL, AWS, Docker",62000.0,0.0,62000.0,,29,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,62000.0,C# .NET,35-39
5,24/11/2020 11:15:53,32.0,Male,Berlin,DevOps,5.0,1,Senior,"AWS, GCP, Python,K8s","Python, AWS, Google Cloud, Kubernetes, Docker",76000.0,5000.0,76000.0,5000,30,Full-time employee,Unlimited contract,English,11-50,Startup,No,,,81000.0,AWS GCP PythonK8s,30-34
6,24/11/2020 11:16:35,37.0,Male,Berlin,Frontend Developer,6.0,0.4,Middle,Javascript,,57000.0,0.0,,,24,Full-time employee,Unlimited contract,English,11-50,Product,No,,,57000.0,Javascript,35-39
7,24/11/2020 11:16:44,24.0,Male,Berlin,Frontend Developer,5.0,1,Senior,Typescript,Javascript / Typescript,65000.0,0.0,65000.0,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,600,65000.0,Typescript,18-24
8,24/11/2020 11:17:24,29.0,Male,Berlin,Backend Developer,8.0,2,Senior,PHP,"SQL, AWS, Docker",56000.0,0.0,55000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,30.0,,56000.0,PHP,25-29
9,24/11/2020 11:17:50,35.0,Male,Berlin,Software Engineer,15.0,3,Lead,Java,,95000.0,0.0,90000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,,95000.0,Java,35-39
10,24/11/2020 11:18:06,32.0,Female,Hamburg,Data Engineer,2.0,2,Junior,Aws Hadoop Postgre Typescript,"Python, Kotlin, Javascript / Typescript, SQL, AWS",52500.0,0.0,52500.0,,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,,52500.0,Aws Hadoop Postgre Typescript,30-34
11,24/11/2020 11:18:16,,Male,Berlin,Software Engineer,25.0,11,Senior,C++,"Python, C/C++, SQL",100000.0,101.0,80000.0,13000,24,Self-employed (freelancer),Temporary contract,English,11-50,Product,Yes,,,100101.0,C++,
12,24/11/2020 11:18:22,,,Berlin,Software Engineer,,,Lead,PHP,,90000.0,40000.0,,,,Full-time employee,Unlimited contract,English,1000+,,No,,1000,130000.0,PHP,
13,24/11/2020 11:18:26,34.0,Male,Berlin,Software Engineer,14.0,5,Senior,Typescript,"PHP, Javascript / Typescript, AWS",70000.0,0.0,,,28,Full-time employee,Unlimited contract,English,11-50,Startup,No,0.0,,70000.0,Typescript,30-34
14,24/11/2020 11:18:40,28.0,Male,Berlin,Designer (UI/UX),11.0,2,Senior,,,75000.0,9400.0,66000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,Yes,,,84400.0,,25-29
15,24/11/2020 11:18:41,31.0,Male,Wolfsburg,Backend Developer,5.0,1,Senior,Kotlin,,75000.0,2000.0,75000.0,2000,25,Full-time employee,Unlimited contract,English,101-1000,Consulting / Agency,No,,,77000.0,Kotlin,30-34
16,24/11/2020 11:18:52,29.0,Male,Hamburg,Backend Developer,7.0,3,Middle,Ruby,"Go, Kubernetes, Docker",60350.0,0.0,58000.0,500,31,Full-time employee,Unlimited contract,English,1000+,Product,i didn't but will be looking for new one because of covid,0.0,,60350.0,Ruby,25-29
17,24/11/2020 11:19:10,41.0,Male,Berlin,Product Manager,18.0,2,Senior,,SQL,78000.0,0.0,100000.0,,28,Full-time employee,Unlimited contract,English,51-100,Startup,Yes,,,78000.0,,40-49
18,24/11/2020 11:20:03,27.0,Male,Berlin,Backend Developer,8.0,3,Senior,PHP,,60000.0,0.0,55000.0,,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,,60000.0,PHP,25-29
19,24/11/2020 11:20:49,34.0,Male,Berlin,Mobile Developer,11.0,5,Lead,kotlin,"Kotlin, Javascript / Typescript, AWS, Google Cloud, Kubernetes, Docker",80000.0,80000.0,75000.0,75000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,160000.0,kotlin,30-34
20,24/11/2020 11:21:10,34.0,Male,Berlin,DevOps,13.0,5,Senior,,,103000.0,0.0,90000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,,,,103000.0,,30-34
21,24/11/2020 11:21:18,34.0,Male,Berlin,Software Architect,15.0,9,Lead,NodeJS,"Javascript / Typescript, SQL, Go, AWS, Kubernetes, Docker, Terraform",100000.0,0.0,92000.0,7000,24,Full-time employee,Unlimited contract,English,1000+,Product,No,,,100000.0,NodeJS,30-34
22,24/11/2020 11:22:57,25.0,Male,Berlin,Software Engineer,5.0,2,Senior,Javascript,"Javascript / Typescript, AWS, Docker",65000.0,0.0,,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,,65000.0,Javascript,25-29
23,24/11/2020 11:23:11,59.0,Male,Berlin,Backend Developer,30.0,30,Senior,Java,"Kotlin, Java / Scala, SQL",69000.0,0.0,69000.0,2000,28,Full-time employee,Unlimited contract,German,101-1000,Product,No,0.0,,69000.0,Java,50+
24,24/11/2020 11:23:53,36.0,Male,Berlin,Software Engineer,17.0,2,Lead,PHP,"Python, C/C++, Javascript / Typescript, SQL, Go, AWS, Docker",70000.0,0.0,65000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,70000.0,PHP,35-39
25,24/11/2020 11:25:03,38.0,Male,Berlin,Team Lead,18.0,4,Lead,iOS,"Swift, AWS",80000.0,4000.0,80000.0,2000,28,Full-time employee,Unlimited contract,English,101-1000,Product,Yes,,,84000.0,iOS,35-39
26,24/11/2020 11:25:20,24.0,Male,Berlin,DevOps,6.0,3,Senior,Kubernetes,"Python, AWS, Google Cloud, Kubernetes, Docker",75000.0,10000.0,63000.0,,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,85000.0,Kubernetes,18-24
27,24/11/2020 11:25:32,37.0,Male,Berlin,Test manager,6.0,6,Middle,Charles,,47400.0,1000.0,44000.0,1000,28,Full-time employee,Unlimited contract,German,1000+,Media,No,,,48400.0,Charles,35-39
28,24/11/2020 11:25:35,,Male,Berlin,DevOps,14.0,5,Senior,,"Python, Go, AWS, Kubernetes, Docker",67000.0,7000.0,65000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,74000.0,,
29,24/11/2020 11:26:16,40.0,Male,Berlin,Product Manager,13.0,1,Senior,SQL,Python,70000.0,0.0,,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,200,70000.0,SQL,40-49
30,24/11/2020 11:26:59,29.0,Male,Berlin,Software Engineer,6.0,4,Lead,Go,"Python, Go, AWS, Kubernetes, Docker",85000.0,5000.0,78000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,1100,90000.0,Go,25-29
31,24/11/2020 11:27:34,31.0,Male,Berlin,Backend Developer,5.0,1,Middle,java,Kotlin,65000.0,0.0,,,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,,65000.0,java,30-34
32,24/11/2020 11:27:39,29.0,Female,Berlin,QA Engineer,7.0,1,Middle,,Javascript / Typescript,45000.0,2000.0,,,26,Full-time employee,Unlimited contract,English,51-100,Startup,No,,,47000.0,,25-29
33,24/11/2020 11:27:49,39.0,Male,Berlin,Software Engineer,8.0,5,Senior,Java,"Python, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",80000.0,0.0,80000.0,,29,Full-time employee,Unlimited contract,English,51-100,Startup,No,30.0,,80000.0,Java,35-39
34,24/11/2020 11:28:12,27.0,Male,Berlin,Software Engineer,8.0,1,Middle,Javascript,,63000.0,101.0,,,24,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,63101.0,Javascript,25-29
35,24/11/2020 11:28:14,33.0,Male,Berlin,Data Scientist,5.0,4,Lead,Python,"Python, R, Google Cloud, Docker",150000.0,80000.0,81000.0,4000,24,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,1,230000.0,Python,30-34
36,24/11/2020 11:28:58,28.0,Female,Berlin,Designer (UI/UX),7.0,7,Middle,Figma,,45000.0,0.0,37000.0,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,,45000.0,Figma,25-29
37,24/11/2020 11:29:18,30.0,Male,Berlin,Software Engineer,8.0,3,Senior,JavaScript,"Python, Javascript / Typescript, Java / Scala, Go, Kubernetes, Docker",80000.0,0.0,72000.0,3500,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,,80000.0,JavaScript,30-34
38,24/11/2020 11:29:38,28.0,Male,Berlin,Backend Developer,5.0,1,Senior,Kotlin,"Python, Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",75000.0,0.0,58000.0,,25,Full-time employee,Unlimited contract,English,101-1000,Startup,No,0.0,,75000.0,Kotlin,25-29
39,24/11/2020 11:29:55,38.0,Male,Berlin,DevOps,10.0,5,Senior,Go/Python,"AWS, Kubernetes, Docker",70000.0,0.0,65000.0,,30,Full-time employee,Unlimited contract,English,51-100,Startup,No,0.0,,70000.0,Go,35-39
40,24/11/2020 11:30:00,29.0,Male,Berlin,Frontend Developer,7.0,2,Senior,React,Javascript / Typescript,72000.0,12000.0,63000.0,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,1000,84000.0,React,25-29
41,24/11/2020 11:30:11,49.0,Male,Berlin,Software Engineer,15.0,15,Senior,Java,SQL,67000.0,1500.0,66000.0,,29,Full-time employee,Unlimited contract,German,1000+,Product,No,,,68500.0,Java,40-49
42,24/11/2020 11:30:21,32.0,Male,Berlin,Frontend Developer,10.0,5,Senior,TypeScript,"AWS, Kubernetes",105000.0,0.0,80000.0,,60,Self-employed (freelancer),Temporary contract,English,101-1000,Product,Yes,,5000,105000.0,TypeScript,30-34
43,24/11/2020 11:30:38,33.0,Female,Berlin,Software Engineer,12.0,5,Senior,С#,"Python, C/C++, Javascript / Typescript, .NET, SQL",88000.0,35200.0,96000.0,20000,30,Full-time employee,Unlimited contract,English,1000+,Product,,,,123200.0,С#,30-34
44,24/11/2020 11:30:45,30.0,Male,Berlin,Software Engineer,6.0,3,Senior,Java,"Kotlin, AWS, Kubernetes, Docker",74000.0,15000.0,54000.0,54000,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,,89000.0,Java,30-34
45,24/11/2020 11:31:01,48.0,Male,Berlin,Software Engineer,25.0,11,Senior,Java,"Kotlin, Java / Scala, SQL",75000.0,0.0,75000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,75000.0,Java,40-49
46,24/11/2020 11:31:38,28.0,Female,Berlin,Designer (UI/UX),5.0,1,Senior,,,60000.0,0.0,,,20,Full-time employee,Unlimited contract,English,1000+,Product,No,,,60000.0,,25-29
47,24/11/2020 11:31:45,32.0,Male,Berlin,Backend Developer,3.0,1,Middle,Java,"AWS, Kubernetes, Docker",77000.0,0.0,62000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,77000.0,Java,30-34
48,24/11/2020 11:31:50,38.0,Female,Berlin,Backend Developer,12.0,6,Senior,,C/C++,70000.0,8000.0,63000.0,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,,78000.0,,35-39
49,24/11/2020 11:31:51,31.0,Male,Berlin,Software Engineer,7.0,3,Lead,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",76000.0,10000.0,69000.0,,27,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,,86000.0,Python,30-34
50,24/11/2020 11:32:11,35.0,Male,Berlin,Backend Developer,10.0,7,Senior,Ruby,"Go, AWS, Kubernetes, Docker, Elixir",75000.0,0.0,72000.0,15000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,500,75000.0,Ruby,35-39
51,24/11/2020 11:32:24,28.0,Female,Berlin,Designer (UI/UX),7.0,7,Middle,Figma,,45000.0,0.0,37000.0,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,,45000.0,Figma,25-29
52,24/11/2020 11:32:28,29.0,Female,Berlin,QA Engineer,8.0,5,Senior,,,60000.0,0.0,52000.0,,28,Full-time employee,Unlimited contract,English,51-100,Startup,Yes,,,60000.0,,25-29
53,24/11/2020 11:32:48,32.0,Male,Berlin,Backend Developer,8.0,5,Senior,PHP,"PHP, SQL, AWS, Kubernetes, Docker",65000.0,0.0,60000.0,,30,Full-time employee,Unlimited contract,English,11-50,Product,No,0.0,,65000.0,PHP,30-34
54,24/11/2020 11:32:57,44.0,Male,Berlin,Backend Developer,12.0,3,Senior,Java,"SQL, Go, Kubernetes, Docker",68000.0,0.0,68000.0,,26,Full-time employee,Unlimited contract,English,11-50,Product,No,,,68000.0,Java,40-49
55,24/11/2020 11:33:08,,Male,Berlin,Software Engineer,,1,Senior,PHP,,75000.0,0.0,,,,Full-time employee,,English,,,No,0.0,,75000.0,PHP,
56,24/11/2020 11:33:33,35.0,Male,Munich,Software Engineer,11.0,3,Senior,Php,"Javascript / Typescript, AWS, Kubernetes, Docker",65000.0,5000.0,65000.0,,29,Full-time employee,Unlimited contract,German,101-1000,Product,No,,2000,70000.0,Php,35-39
57,24/11/2020 11:33:45,33.0,Male,Munich,DevOps,15.0,4,Lead,Kubernetes,"AWS, Google Cloud, Azure, Docker",90000.0,10000.0,78000.0,85000,30,Full-time employee,Unlimited contract,,101-1000,Product,No,,,100000.0,Kubernetes,30-34
58,24/11/2020 11:33:46,29.0,Male,Berlin,Software Engineer,5.0,3,Senior,Go,"Java / Scala, AWS, Docker",75000.0,0.0,58000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,75000.0,Go,25-29
59,24/11/2020 11:33:51,66.0,Male,Munich,Software Engineer,40.0,4,Lead,ruby on rails,"Javascript / Typescript, Ruby, SQL",70000.0,0.0,50000.0,,30,Full-time employee,Unlimited contract,German,51-100,Product,No,0.0,,70000.0,ruby on rails,50+
