,Unnamed: 0,Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP,GDP Growth_num,GDP per capita_num,Share of World GDP_num
0,0,United States,27720700000000.0,27.721 trillion,2.89%,343477335,"$80,706",26.11%,0.028900000000000002,80706.0,26.11
1,1,China,17794800000000.0,17.795 trillion,5.25%,1422584933,"$12,509",16.76%,0.0525,12509.0,16.76
2,2,Germany,4525700000000.0,4.526 trillion,−0.27%,84548231,"$53,528",4.26%,-0.0027,53528.0,4.26
3,3,Japan,4204490000000.0,4.204 trillion,1.68%,124370947,"$33,806",3.96%,0.0168,33806.0,3.96
4,4,India,3567550000000.0,3.568 trillion,8.15%,1438069596,"$2,481",3.36%,0.0815,2481.0,3.36
5,5,United Kingdom,3380850000000.0,3.381 trillion,0.34%,68682962,"$49,224",3.18%,0.0034000000000000002,49224.0,3.18
6,6,France,3051830000000.0,3.052 trillion,0.94%,66438822,"$45,934",2.87%,0.009399999999999999,45934.0,2.87
7,7,Italy,2300940000000.0,2.301 trillion,0.7%,59499453,"$38,672",2.17%,0.006999999999999999,38672.0,2.17
8,8,Brazil,2173670000000.0,2.174 trillion,2.91%,211140729,"$10,295",2.05%,0.0291,10295.0,2.05
9,9,Canada,2142470000000.0,2.142 trillion,1.25%,39299105,"$54,517",2.02%,0.0125,54517.0,2.02
10,10,Russia,2021420000000.0,2.021 trillion,3.6%,145440500,"$13,899",1.90%,0.036000000000000004,13899.0,1.9
11,11,Mexico,1789110000000.0,1.789 trillion,3.2%,129739759,"$13,790",1.69%,0.032,13790.0,1.69
12,12,Australia,1728060000000.0,1.728 trillion,3.44%,26451124,"$65,330",1.63%,0.0344,65330.0,1.63
13,13,South Korea,1712790000000.0,1.713 trillion,1.36%,51748739,"$33,098",1.61%,0.013600000000000001,33098.0,1.61
14,14,Spain,1620090000000.0,1.62 trillion,2.68%,47911579,"$33,814",1.53%,0.0268,33814.0,1.53
15,15,Indonesia,1371170000000.0,1.371 trillion,5.05%,281190067,"$4,876",1.29%,0.050499999999999996,4876.0,1.29
16,16,Netherlands,1154360000000.0,1.154 trillion,0.07%,18092524,"$63,803",1.09%,0.0007000000000000001,63803.0,1.09
17,17,Turkey,1118250000000.0,1.118 trillion,5.11%,87270501,"$12,814",1.05%,0.051100000000000007,12814.0,1.05
18,18,Saudi Arabia,1067580000000.0,1.068 trillion,−0.76%,33264292,"$32,094",1.01%,-0.0076,32094.0,1.01
19,19,Switzerland,884940000000.0,884.94 billion,0.72%,8870561,"$99,761",0.83%,0.0072,99761.0,0.83
20,20,Poland,809201000000.0,809.201 billion,0.14%,38762844,"$20,876",0.76%,0.0014000000000000002,20876.0,0.76
21,21,Argentina,646075000000.0,646.075 billion,−1.61%,45538401,"$14,187",0.61%,-0.0161,14187.0,0.61
22,22,Belgium,644783000000.0,644.783 billion,1.25%,11712893,"$55,049",0.61%,0.0125,55049.0,0.61
23,23,Sweden,584960000000.0,584.96 billion,−0.31%,10551494,"$55,439",0.55%,-0.0031,55439.0,0.55
24,24,Ireland,551395000000.0,551.395 billion,−5.53%,5196630,"$106,106",0.52%,-0.0553,106106.0,0.52
25,25,Thailand,514969000000.0,514.969 billion,1.89%,71702435,"$7,182",0.49%,0.0189,7182.0,0.49
26,26,United Arab Emirates,514130000000.0,514.13 billion,3.62%,10642081,"$48,311",0.48%,0.0362,48311.0,0.48
27,27,Israel,513611000000.0,513.611 billion,2.42%,9256314,"$55,488",0.48%,0.0242,55488.0,0.48
28,28,Austria,511685000000.0,511.685 billion,−0.95%,9130429,"$56,042",0.48%,-0.0095,56042.0,0.48
29,29,Singapore,501428000000.0,501.428 billion,1.07%,5789090,"$86,616",0.47%,0.010700000000000001,86616.0,0.47
30,30,Norway,485311000000.0,485.311 billion,0.48%,5519167,"$87,932",0.46%,0.0048,87932.0,0.46
31,31,Bangladesh,437415000000.0,437.415 billion,5.78%,171466990,"$2,551",0.41%,0.057800000000000004,2551.0,0.41
32,32,Philippines,437146000000.0,437.146 billion,5.55%,114891199,"$3,805",0.41%,0.0555,3805.0,0.41
33,33,Vietnam,429717000000.0,429.717 billion,5.05%,100352192,"$4,282",0.40%,0.050499999999999996,4282.0,0.4
34,34,Denmark,407092000000.0,407.092 billion,2.5%,5948136,"$68,440",0.38%,0.025,68440.0,0.38
35,35,Iran,404626000000.0,404.626 billion,5.04%,90608707,"$4,466",0.38%,0.0504,4466.0,0.38
36,36,Malaysia,399705000000.0,399.705 billion,3.56%,35126298,"$11,379",0.38%,0.0356,11379.0,0.38
37,37,Egypt,396002000000.0,396.002 billion,3.76%,114535772,"$3,457",0.37%,0.037599999999999995,3457.0,0.37
38,38,Hong Kong,380812000000.0,380.812 billion,3.28%,7442734,"$51,166",0.36%,0.032799999999999996,51166.0,0.36
39,39,South Africa,380699000000.0,380.699 billion,0.7%,63212384,"$6,023",0.36%,0.006999999999999999,6023.0,0.36
40,40,Nigeria,363846000000.0,363.846 billion,2.86%,227882945,"$1,597",0.34%,0.0286,1597.0,0.34
41,41,Colombia,363494000000.0,363.494 billion,0.61%,52321152,"$6,947",0.34%,0.0060999999999999995,6947.0,0.34
42,42,Romania,350776000000.0,350.776 billion,2.4%,19118479,"$18,347",0.33%,0.024,18347.0,0.33
43,43,Czech Republic (Czechia),343208000000.0,343.208 billion,−0.09%,10809716,"$31,750",0.32%,-0.0009,31750.0,0.32
44,44,Pakistan,337912000000.0,337.912 billion,−0.04%,247504495,"$1,365",0.32%,-0.0004,1365.0,0.32
45,45,Chile,335533000000.0,335.533 billion,0.22%,19658835,"$17,068",0.32%,0.0022,17068.0,0.32
46,46,Finland,295532000000.0,295.532 billion,−1.16%,5601185,"$52,762",0.28%,-0.0116,52762.0,0.28
47,47,Portugal,289114000000.0,289.114 billion,2.53%,10430738,"$27,718",0.27%,0.0253,27718.0,0.27
48,48,Peru,267603000000.0,267.603 billion,−0.55%,33845617,"$7,907",0.25%,-0.0055000000000000005,7907.0,0.25
49,49,Kazakhstan,262642000000.0,262.642 billion,5.1%,20330104,"$12,919",0.25%,0.051,12919.0,0.25
50,50,New Zealand,252176000000.0,252.176 billion,0.73%,5172836,"$48,750",0.24%,0.0073,48750.0,0.24
51,51,Iraq,250843000000.0,250.843 billion,−2.94%,45074049,"$5,565",0.24%,-0.0294,5565.0,0.24
52,52,Algeria,247626000000.0,247.626 billion,4.1%,46164219,"$5,364",0.23%,0.040999999999999995,5364.0,0.23
53,53,Greece,243498000000.0,243.498 billion,2.33%,10242908,"$23,772",0.23%,0.0233,23772.0,0.23
54,54,Qatar,213003000000.0,213.003 billion,1.19%,2979082,"$71,500",0.20%,0.011899999999999999,71500.0,0.2
55,55,Hungary,212389000000.0,212.389 billion,−0.91%,9686463,"$21,926",0.20%,-0.0091,21926.0,0.2
56,56,Ukraine,178757000000.0,178.757 billion,5.32%,37732836,"$4,737",0.17%,0.053200000000000004,4737.0,0.17
57,57,Kuwait,163705000000.0,163.705 billion,−3.64%,4838782,"$33,832",0.15%,-0.0364,33832.0,0.15
58,58,Ethiopia,163698000000.0,163.698 billion,6.5%,128691692,"$1,272",0.15%,0.065,1272.0,0.15
59,59,Morocco,144417000000.0,144.417 billion,3.4%,37712505,"$3,829",0.14%,0.034,3829.0,0.14
60,60,Slovakia,132908000000.0,132.908 billion,1.38%,5518055,"$24,086",0.13%,0.0138,24086.0,0.13
61,61,Dominican Republic,121444000000.0,121.444 billion,2.36%,11331265,"$10,718",0.11%,0.0236,10718.0,0.11
