client_id,name,age,job,city
1,CLIENT_1   ,49,Pensioner,hardt
2,Client_2,44,Seller,Hardt
3,Client_3,41,IT Specialist,Frankfurt
4,Client_4,16,Student,Tuttlingen
5,Client_5,39,Sportsman,Baden-Baden
6,Client_6,22,IT Specialist,Hardt
7,Client_7,65,Driver,VS
8,Client_8,53,Manager,Sulgen
9,Client_9,19,Pensioner,Bratslaw
10,Client_10,31,Student,Hamburg
11,CLIENT_11   ,47,Student,Baden-Baden
12,Client_12,25,Director,Rottweil
13,Client_13,63,Teacher,VS
14,Client_14,53,Police worker,Frankfurt
15,Client_15,23,Seller,Tuttlingen
16,Client_16,21,Manager,hardt
17,Client_17,49,Brewer,Munich
18,Client_18,51,IT Specialist,Frankfurt
19,Client_19,73,Seller,Berlin
20,Client_20,44,Manager,Bratslaw
21,CLIENT_21   ,75,Manager,Schramberg
22,Client_22,17,Seller,Frankfurt
23,Client_23,66,Sportsman,Hardt
24,Client_24,69,Driver,  Stuttgart
25,Client_25,36,Seller,Frankfurt
26,Client_26,59,Engineer,Sulgen
27,Client_27,36,Pensioner,Dunningen
28,Client_28,59,Unemployed,Hardt
29,Client_29,64,Driver,Rottweil
30,Client_30,73,Brewer,Munich
31,CLIENT_31   ,57,Student,rottweil
32,Client_32,26,Brewer,Dunningen
33,Client_33,72,Student,Hardt
34,Client_34,41,Police worker,Offenburg
35,Client_35,34,Teacher,Frankfurt
36,Client_36,61,Student,Offenburg
37,Client_37,41,Teacher,Rottweil
38,Client_38,36,Teacher,Rottweil
39,Client_39,59,Sportsman,Berlin
40,Client_40,74,Director,Offenburg
41,CLIENT_41   ,72,Seller,Bratslaw
42,Client_42,34,Seller,Hardt
43,Client_43,70,Seller,Offenburg
44,Client_44,53,Unemployed,Frankfurt
45,Client_45,47,Engineer,Frankfurt
46,Client_46,34,Brewer,rottweil
47,Client_47,21,Seller,Munich
48,Client_48,47,Police worker,Frankfurt
49,Client_49,66,Pensioner,Berlin
50,Client_50,34,Security,Baden-Baden
51,CLIENT_51   ,28,Student,Rottweil
52,Client_52,48,Unemployed,Frankfurt
53,Client_53,73,Police worker,Frankfurt
54,Client_54,54,Brewer,Dunningen
55,Client_55,19,Brewer,Bratslaw
56,Client_56,23,Engineer,VS
57,Client_57,33,Teacher,Hamburg
58,Client_58,67,Driver,Frankfurt
59,Client_59,47,Brewer,Munich
60,Client_60,50,Manager,  Stuttgart
61,CLIENT_61   ,48,Sportsman,stuttgart
62,Client_62,57,IT Specialist,Frankfurt
63,Client_63,26,Manager,Schramberg
64,Client_64,40,Pensioner,Tuttlingen
65,Client_65,41,Unemployed,Frankfurt
66,Client_66,31,Police worker,Frankfurt
67,Client_67,57,Security,Berlin
68,Client_68,37,Brewer,Schramberg
69,Client_69,73,Brewer,Bratslaw
70,Client_70,38,Unemployed,Dunningen
71,CLIENT_71   ,47,Security,Dunningen
72,Client_72,45,Student,Frankfurt
73,Client_73,29,Pensioner,VS
74,Client_74,47,Driver,Offenburg
75,Client_75,71,Student,Hardt
76,Client_76,69,Police worker,dunningen
77,Client_77,73,Engineer,Rottweil
78,Client_78,38,Brewer,  Stuttgart
79,Client_79,73,Teacher,Frankfurt
80,Client_80,57,Sportsman,Tuttlingen
81,CLIENT_81   ,30,Unemployed,Munich
82,Client_82,26,Manager,Frankfurt
83,Client_83,18,Driver,Frankfurt
84,Client_84,42,Brewer,Hamburg
85,Client_85,69,Police worker,Bratslaw
86,Client_86,43,Police worker,Bratslaw
87,Client_87,75,Sportsman,Sulgen
88,Client_88,38,Brewer,Tuttlingen
89,Client_89,71,Sportsman,Frankfurt
