credit_id,client_id,amount,duration,status,collateral_type,collateral_value
CR_1,191,50000.0,36,Default,None,0.0
CR_2,935,500.0,12,Active,Real Estate,511.88
CR_3,4,5000.0,24,Closed,Real Estate,2636.92
CR_4,366,,60,Closed,None,0.0
CR_5,858,1000.0,12,Closed,None,0.0
CR_6,648,5000.0,24,Default,Deposit,4174.2
CR_7,366,1000.0,6,Default,Real Estate,1111.18
CR_8,515,10000.0,12,Closed,Deposit,8367.26
CR_9,671,50000.0,12,Active,Deposit,35736.91
CR_10,989,25000.0,6,Closed,Car,23021.89
CR_11,556,5000.0,6,Closed,None,0.0
CR_12,387,10000.0,60,Default,Deposit,6425.27
CR_13,294,,24,Default,Deposit,0.0
CR_14,932,,12,Default,Real Estate,0.0
CR_15,312,25000.0,24,Closed,Deposit,17587.41
CR_16,507,500.0,24,Default,Deposit,448.36
CR_17,569,,60,Active,Real Estate,0.0
CR_18,600,50000.0,60,Default,Deposit,38278.02
CR_19,933,10000.0,6,Default,Deposit,10069.15
CR_20,311,10000.0,12,Active,None,0.0
CR_21,732,25000.0,60,Closed,Deposit,13391.03
CR_22,137,500.0,60,Closed,None,0.0
CR_23,961,500.0,24,Closed,None,0.0
CR_24,92,25000.0,6,Default,Deposit,29961.26
CR_25,760,25000.0,24,Closed,Real Estate,31717.8
CR_26,756,10000.0,6,Default,Car,11832.07
CR_27,506,1000.0,6,Default,Deposit,889.72
CR_28,707,10000.0,6,Closed,Real Estate,7632.27
CR_29,756,25000.0,60,Active,Car,23996.46
CR_30,778,25000.0,60,Default,Deposit,31120.22
CR_31,738,10000.0,60,Active,Real Estate,10325.3
CR_32,109,50000.0,36,Active,Real Estate,25565.39
CR_33,434,5000.0,24,Active,Real Estate,6886.65
CR_34,846,500.0,12,Closed,Real Estate,594.0
CR_35,145,50000.0,6,Default,Car,43636.17
CR_36,861,5000.0,36,Default,Deposit,2574.75
CR_37,119,1000.0,36,Closed,Real Estate,533.76
CR_38,762,1000.0,12,Active,Car,925.04
CR_39,689,50000.0,36,Default,Deposit,42930.09
CR_40,502,,24,Closed,None,0.0
CR_41,975,,24,Default,None,0.0
CR_42,807,500.0,36,Closed,Deposit,395.3
CR_43,111,,36,Closed,Real Estate,0.0
CR_44,156,500.0,12,Active,None,0.0
CR_45,644,1000.0,6,Default,Deposit,649.46
CR_46,508,,36,Default,Real Estate,0.0
CR_47,763,5000.0,12,Default,Deposit,6550.26
CR_48,809,,60,Default,Deposit,0.0
CR_49,91,10000.0,60,Default,Deposit,5631.36
CR_50,913,5000.0,36,Closed,Real Estate,6252.91
CR_51,942,,12,Active,None,0.0
CR_52,344,1000.0,6,Closed,Car,1491.86
CR_53,799,500.0,6,Active,Car,512.41
CR_54,510,10000.0,12,Default,None,0.0
CR_55,762,10000.0,6,Active,None,0.0
CR_56,909,50000.0,60,Default,Deposit,46297.71
CR_57,245,,24,Default,None,0.0
CR_58,40,50000.0,36,Closed,Deposit,57393.16
CR_59,394,,12,Default,Car,0.0
CR_60,432,5000.0,6,Closed,Deposit,4840.37
