credit_id,client_id,amount,duration,status,collateral_type,collateral_value,collateral_ratio,name,age,job,city,is_legal,base_pd,lgd,reserves_for_bank
CR_1,89,1000.0,60,Default,Real Estate,944.49,94.449,Client_89,52,Pensioner,Frankfurt,True,0.08,0.2,16.0
CR_2,638,50000.0,12,Closed,Car,72122.15,144.24429999999998,Client_638,62,Manager,Munich,True,0.05,0.4,1000.0000000000002
CR_3,293,500.0,12,Active,Nothing,0.0,0.0,Client_293,44,Brewer,Frankfurt,True,0.04,0.8,16.0
CR_4,951,50000.0,12,Default,Real Estate,47439.2,94.8784,Client_951,22,Police worker,Offenburg,True,0.04,0.2,400.0
CR_5,750,50000.0,60,Default,Real Estate,28438.96,56.87792,Client_750,38,Security,Rottweil,True,0.09,0.2,899.9999999999999
CR_6,399,500.0,60,Active,Nothing,0.0,0.0,Client_399,57,Sportsman,Baden-Baden,True,0.08,0.8,32.0
CR_7,54,5000.0,60,Active,Nothing,0.0,0.0,Client_54,37,Sportsman,Offenburg,True,0.08,0.8,320.0
CR_8,938,10000.0,24,Closed,Real Estate,11906.62,119.0662,Client_938,28,Driver,Frankfurt,True,0.12,0.2,240.0
CR_9,967,50000.0,36,Default,Deposit,56508.17,113.01634,Client_967,30,Seller,Frankfurt,True,0.06,0.2,600.0
CR_10,760,50000.0,6,Closed,Nothing,0.0,0.0,Client_760,60,Police worker,Tuttlingen,True,0.04,0.8,1600.0
CR_11,568,500.0,12,Closed,Nothing,0.0,0.0,Client_568,65,Engineer,Sulgen,True,0.03,0.8,12.0
CR_12,25,5000.0,36,Active,Real Estate,0.0,0.0,Client_25,61,Pensioner,Frankfurt,True,0.08,0.2,80.0
CR_13,821,10000.0,12,Default,Nothing,0.0,0.0,Client_821,34,Police worker,Berlin,True,0.04,0.8,320.0
CR_14,342,10000.0,6,Default,Deposit,9397.33,93.9733,Client_342,54,Police worker,Baden-Baden,True,0.04,0.2,80.0
CR_15,334,1000.0,36,Default,Deposit,1122.58,112.258,Client_334,41,Sportsman,Schramberg,True,0.08,0.2,16.0
CR_16,935,1000.0,12,Default,Deposit,1106.13,110.613,Client_935,27,Pensioner,Dunningen,True,0.08,0.2,16.0
CR_17,275,500.0,6,Closed,Deposit,504.95,100.99,Client_275,69,Pensioner,Dunningen,True,0.08,0.2,8.0
CR_18,282,10000.0,36,Closed,Nothing,0.0,0.0,Client_282,71,Director,Stuttgart,True,0.01,0.8,80.0
CR_19,925,5000.0,60,Closed,Nothing,0.0,0.0,Client_925,61,Unemployed,Hardt,True,0.3,0.8,1200.0
CR_20,834,5000.0,6,Active,Nothing,0.0,0.0,Client_834,49,Pensioner,Rottweil,True,0.08,0.8,320.0
CR_21,571,5000.0,60,Closed,Nothing,0.0,0.0,Client_571,70,Driver,Munich,True,0.12,0.8,480.0
CR_22,949,1000.0,24,Default,Deposit,1144.85,114.485,Client_949,18,Pensioner,Frankfurt,True,0.08,0.2,16.0
CR_23,882,1000.0,24,Active,Nothing,0.0,0.0,Client_882,66,Pensioner,Baden-Baden,True,0.08,0.8,64.0
CR_24,60,5000.0,12,Default,Deposit,0.0,0.0,Client_60,69,Director,Tuttlingen,True,0.01,0.2,10.0
CR_25,468,5000.0,6,Closed,Car,5987.03,119.7406,Client_468,38,Manager,Berlin,True,0.05,0.4,100.00000000000001
CR_26,764,5000.0,36,Default,Nothing,0.0,0.0,Client_764,17,Brewer,Vs,False,0.048,0.8,192.00000000000003
CR_27,62,25000.0,24,Default,Real Estate,25400.94,101.60376,Client_62,64,Sportsman,Tuttlingen,True,0.08,0.2,400.0
CR_28,328,50000.0,60,Default,Real Estate,42595.14,85.19028,Client_328,22,Teacher,Baden-Baden,True,0.02,0.2,200.0
CR_29,963,5000.0,12,Closed,Car,0.0,0.0,Client_963,55,Brewer,Vs,True,0.04,0.4,80.0
CR_30,22,50000.0,6,Default,Deposit,52447.8,104.8956,Client_22,62,Pensioner,Munich,True,0.08,0.2,800.0
CR_31,478,25000.0,60,Active,Car,34763.3,139.0532,Client_478,59,Pensioner,Offenburg,True,0.08,0.4,800.0
CR_32,713,1000.0,24,Default,Car,1450.36,145.036,Client_713,71,Seller,Rottweil,True,0.06,0.4,24.0
CR_33,854,5000.0,60,Default,Car,3046.79,60.93579999999999,Client_854,21,Pensioner,Hamburg,True,0.08,0.4,160.0
CR_34,471,1000.0,6,Active,Real Estate,1399.88,139.988,Client_471,24,Director,Schramberg,True,0.01,0.2,2.0
CR_35,18,25000.0,36,Default,Car,20382.07,81.52828,Client_18,68,Teacher,Stuttgart,True,0.02,0.4,200.0
CR_36,154,50000.0,12,Active,Nothing,0.0,0.0,Client_154,17,Sportsman,Dunningen,False,0.096,0.8,3840.0000000000005
CR_37,479,5000.0,12,Default,Deposit,0.0,0.0,Client_479,23,Security,Hardt,True,0.09,0.2,90.0
CR_38,83,25000.0,24,Default,Deposit,25127.78,100.51112,Client_83,40,Engineer,Rottweil,True,0.03,0.2,150.0
CR_39,685,10000.0,60,Closed,Deposit,12443.82,124.4382,Client_685,32,Director,Hardt,True,0.01,0.2,20.0
CR_40,255,1000.0,12,Closed,Real Estate,969.9,96.99,Client_255,29,Student,Rottweil,True,0.25,0.2,50.0
CR_41,136,25000.0,24,Active,Nothing,0.0,0.0,Client_136,71,Security,Berlin,True,0.09,0.8,1799.9999999999998
CR_42,676,25000.0,36,Default,Car,19883.9,79.5356,Client_676,74,Pensioner,Schramberg,True,0.08,0.4,800.0
