client_id,name,age,job,city,is_legal
1,Client_1,49,Pensioner,Hardt,True
2,Client_2,44,Seller,Hardt,True
3,Client_3,41,IT Specialist,Frankfurt,True
4,Client_4,16,Student,Tuttlingen,False
5,Client_5,39,Sportsman,Baden-Baden,True
6,Client_6,22,IT Specialist,Hardt,True
7,Client_7,65,Driver,Vs,True
8,Client_8,53,Manager,Sulgen,True
9,Client_9,19,Pensioner,Bratslaw,True
10,Client_10,31,Student,Hamburg,True
11,Client_11,47,Student,Baden-Baden,True
12,Client_12,25,Director,Rottweil,True
13,Client_13,63,Teacher,Vs,True
14,Client_14,53,Police worker,Frankfurt,True
15,Client_15,23,Seller,Tuttlingen,True
16,Client_16,21,Manager,Hardt,True
17,Client_17,49,Brewer,Munich,True
18,Client_18,51,IT Specialist,Frankfurt,True
19,Client_19,73,Seller,Berlin,True
20,Client_20,44,Manager,Bratslaw,True
21,Client_21,75,Manager,Schramberg,True
22,Client_22,17,Seller,Frankfurt,False
23,Client_23,66,Sportsman,Hardt,True
24,Client_24,69,Driver,Stuttgart,True
25,Client_25,36,Seller,Frankfurt,True
26,Client_26,59,Engineer,Sulgen,True
27,Client_27,36,Pensioner,Dunningen,True
28,Client_28,59,Unemployed,Hardt,True
29,Client_29,64,Driver,Rottweil,True
30,Client_30,73,Brewer,Munich,True
31,Client_31,57,Student,Rottweil,True
32,Client_32,26,Brewer,Dunningen,True
33,Client_33,72,Student,Hardt,True
34,Client_34,41,Police worker,Offenburg,True
35,Client_35,34,Teacher,Frankfurt,True
36,Client_36,61,Student,Offenburg,True
37,Client_37,41,Teacher,Rottweil,True
38,Client_38,36,Teacher,Rottweil,True
39,Client_39,59,Sportsman,Berlin,True
40,Client_40,74,Director,Offenburg,True
41,Client_41,72,Seller,Bratslaw,True
42,Client_42,34,Seller,Hardt,True
43,Client_43,70,Seller,Offenburg,True
44,Client_44,53,Unemployed,Frankfurt,True
45,Client_45,47,Engineer,Frankfurt,True
46,Client_46,34,Brewer,Rottweil,True
47,Client_47,21,Seller,Munich,True
48,Client_48,47,Police worker,Frankfurt,True
49,Client_49,66,Pensioner,Berlin,True
50,Client_50,34,Security,Baden-Baden,True
51,Client_51,28,Student,Rottweil,True
52,Client_52,48,Unemployed,Frankfurt,True
53,Client_53,73,Police worker,Frankfurt,True
54,Client_54,54,Brewer,Dunningen,True
55,Client_55,19,Brewer,Bratslaw,True
56,Client_56,23,Engineer,Vs,True
57,Client_57,33,Teacher,Hamburg,True
58,Client_58,67,Driver,Frankfurt,True
59,Client_59,47,Brewer,Munich,True
60,Client_60,50,Manager,Stuttgart,True
