credit_id,client_id,amount,duration,status,collateral_type,collateral_value,collateral_ratio
CR_1,191,50000.0,36,Default,Nothing,0.0,0.0
CR_2,935,500.0,12,Active,Real Estate,511.88,102.376
CR_3,4,5000.0,24,Closed,Real Estate,2636.92,52.7384
CR_4,366,15275.671406003159,60,Closed,Nothing,0.0,0.0
CR_5,858,1000.0,12,Closed,Nothing,0.0,0.0
CR_6,648,5000.0,24,Default,Deposit,4174.2,83.484
CR_7,366,1000.0,6,Default,Real Estate,1111.18,111.11800000000001
CR_8,515,10000.0,12,Closed,Deposit,8367.26,83.6726
CR_9,671,50000.0,12,Active,Deposit,35736.91,71.47382
CR_10,989,25000.0,6,Closed,Car,23021.89,92.08756
CR_11,556,5000.0,6,Closed,Nothing,0.0,0.0
CR_12,387,10000.0,60,Default,Deposit,6425.27,64.2527
CR_13,294,15275.671406003159,24,Default,Deposit,0.0,0.0
CR_14,932,15275.671406003159,12,Default,Real Estate,0.0,0.0
CR_15,312,25000.0,24,Closed,Deposit,17587.41,70.34964000000001
CR_16,507,500.0,24,Default,Deposit,448.36,89.67200000000001
CR_17,569,15275.671406003159,60,Active,Real Estate,0.0,0.0
CR_18,600,50000.0,60,Default,Deposit,38278.02,76.55604
CR_19,933,10000.0,6,Default,Deposit,10069.15,100.6915
CR_20,311,10000.0,12,Active,Nothing,0.0,0.0
CR_21,732,25000.0,60,Closed,Deposit,13391.03,53.56412
CR_22,137,500.0,60,Closed,Nothing,0.0,0.0
CR_23,961,500.0,24,Closed,Nothing,0.0,0.0
CR_24,92,25000.0,6,Default,Deposit,29961.26,119.84504
CR_25,760,25000.0,24,Closed,Real Estate,31717.8,126.8712
CR_26,756,10000.0,6,Default,Car,11832.07,118.32069999999999
CR_27,506,1000.0,6,Default,Deposit,889.72,88.97200000000001
CR_28,707,10000.0,6,Closed,Real Estate,7632.27,76.3227
CR_29,756,25000.0,60,Active,Car,23996.46,95.98584
CR_30,778,25000.0,60,Default,Deposit,31120.22,124.48088
CR_31,738,10000.0,60,Active,Real Estate,10325.3,103.253
CR_32,109,50000.0,36,Active,Real Estate,25565.39,51.13078
CR_33,434,5000.0,24,Active,Real Estate,6886.65,137.733
CR_34,846,500.0,12,Closed,Real Estate,594.0,118.8
CR_35,145,50000.0,6,Default,Car,43636.17,87.27233999999999
CR_36,861,5000.0,36,Default,Deposit,2574.75,51.495000000000005
CR_37,119,1000.0,36,Closed,Real Estate,533.76,53.376000000000005
CR_38,762,1000.0,12,Active,Car,925.04,92.50399999999999
CR_39,689,50000.0,36,Default,Deposit,42930.09,85.86018
CR_40,502,15275.671406003159,24,Closed,Nothing,0.0,0.0
CR_41,975,15275.671406003159,24,Default,Nothing,0.0,0.0
CR_42,807,500.0,36,Closed,Deposit,395.3,79.06
CR_43,111,15275.671406003159,36,Closed,Real Estate,0.0,0.0
CR_44,156,500.0,12,Active,Nothing,0.0,0.0
CR_45,644,1000.0,6,Default,Deposit,649.46,64.946
CR_46,508,15275.671406003159,36,Default,Real Estate,0.0,0.0
CR_47,763,5000.0,12,Default,Deposit,6550.26,131.0052
CR_48,809,15275.671406003159,60,Default,Deposit,0.0,0.0
